#;PSRJ;RAJ;DECJ;P0;S1400;
1;J0332+5434;03:32:59.3;+54:34:43.5;0.714520;203.00;
2;J0953+0755;09:53:09.3;+07:55:35.7;0.253065;84.00;
3;J1935+1616;19:35:47.8;+16:16:39.9;0.358738;42.00;
4;J2022+2854;20:22:37.0;+28:54:23.1;0.343402;38.00;
5;J1932+1059;19:32:13.9;+10:59:32.4;0.226518;36.00;
6;J1136+1551;11:36:03.2;+15:51:04.4;1.187913;32.00;
7;J2018+2839;20:18:03.8;+28:39:54.2;0.557953;30.00;
8;J2022+5154;20:22:49.8;+51:54:50.2;0.529197;27.00;
9;J0358+5413;03:58:53.7;+54:13:13.7;0.156382;23.00;
10;J0630-2834;06:30:49.4;-28:34:42.7;1.244419;23.00;
11;J1645-0317;16:45:02.0;-03:17:58.3;0.387690;21.00;
12;J2113+4644;21:13:24.3;+46:44:08.7;1.014685;19.00;
13;J1752-2806;17:52:58.6;-28:06:37.3;0.562558;18.00;
14;J2157+4017;21:57:01.8;+40:17:45.9;1.525266;17.00;
15;J0742-2822;07:42:49.0;-28:22:43.7;0.166762;15.00;
16;J1807-0847;18:07:38.0;-08:47:43.2;0.163727;15.00;
17;J2313+4253;23:13:08.6;+42:53:13.0;0.349434;15.00;
18;J0534+2200;05:34:31.9;+22:00:52.0;0.033392;14.00;
19;J0248+6021;02:48:18.6;+60:21:34.7;0.217094;13.70;
20;J1939+2134;19:39:38.5;+21:34:59.1;0.001558;13.20;
21;J0454+5543;04:54:07.7;+55:43:41.4;0.340729;13.00;
22;J1900-2600;19:00:47.5;-26:00:43.8;0.612209;13.00;
23;J2048-1616;20:48:35.6;-16:16:44.5;1.961572;13.00;
24;J1825-0935;18:25:30.6;-09:35:22.3;0.769006;12.00;
25;J2321+6024;23:21:55.2;+60:24:30.7;2.256488;12.00;
26;J0034-0721;00:34:08.8;-07:21:53.4;0.942951;11.00;
27;J1713+0747;17:13:49.5;+07:47:37.4;0.004570;10.20;
28;J0814+7429;08:14:59.5;+74:29:05.7;1.292241;10.00;
29;J0826+2637;08:26:51.3;+26:37:23.7;0.530661;10.00;
30;J1239+2453;12:39:40.4;+24:53:49.2;1.382449;10.00;
31;J1946+1805;19:46:53.0;+18:05:41.2;0.440618;10.00;
32;J1740+1000;17:40:25.9;+10:00:06.3;0.154087;9.20;
33;J2257+5909;22:57:57.7;+59:09:14.8;0.368246;9.20;
34;J0528+2200;05:28:52.2;+22:00:04;3.745539;9.00;
35;J0543+2329;05:43:09.6;+23:29:05;0.245975;9.00;
36;J2145-0750;21:45:50.4;-07:50:18.4;0.016052;8.90;
37;J1844+00;18:44:11;+00:35;0.460503;8.60;
38;J1848-0123;18:48:23.5;-01:23:58.2;0.659432;8.60;
